,,,,,,
,,,,,,
№,Описание проверки,"Статус Окружение 1 Google Chrome версии 121.0, 1920x1080","Статус Окружение 2 Яндекс Браузер версии 24.1, 1280x720",Ссылка на баг-репорт,Комментарий,Спасибо за отличное ревью!
93,Статус №2: При неактивном состоянии линия соеденяющая со статусом №3 - серого цвета,PASSED,PASSED,,,
94,Статус №2: Названия статусов не имеют орфографических ошибок,PASSED,PASSED,,,
95,Статус №2: Описания статусов не имеют орфографических ошибок,PASSED,PASSED,,,
96,Статус №2: После завершения статуса кружок с номером меняется на кружок с галочкой,PASSED,PASSED,,,
97,"Статус №2 становится активным, когда когда курьер подтвердил у себя в приложении, что принял заказ",PASSED,PASSED,,,
98,"Статус №2: Если имя курьера слишком длинное и подпись не умещается в одну строчку, текст переносится на вторую строчку",FAILED,FAILED,"5V-87 Статус №2 в активном состоянии называется ""Курьер едет к вам""",,
99,Статус №2: Если заказ просрочен название становится красным,PASSED,PASSED,,,
100,Статус №2: Если заказ просрочен описание становится красным,PASSED,PASSED,,,
101,Статус №2: Если заказ просрочен кружок с номером статуса становится красным,PASSED,PASSED,,,
102,"Статус №2: Если заказ просрочен cтатус называется ""Курьер задерживается""",PASSED,PASSED,,,
103,"Статус №2: Если заказ просрочен cтатус имеет описание ""Не успеем привезти самокат вовремя. Чтобы уточнить статус заказа, позвоните в поддержку: 0101""",PASSED,PASSED,,,
104,"Статус №3 называется ""Курьер на месте""",PASSED,PASSED,,,
105,Статус №3 находится под статусом №2,PASSED,PASSED,,,
106,"Статус №3 имеет описание:  ""Заберите самокат и оплатите аренду""",PASSED,PASSED,,,
107,"Статус №3 становится активным, когда курьер нажал кнопку «Завершить» у себя в приложении",FAILED,FAILED,"5V-126 Если завершить заказ, статус №4 становится активным",,
108,Статус №3: Название активного статуса черного цвета,SKIPED,SKIPED,"5V-126 Если завершить заказ, статус №4 становится активным",,
109,Статус №3: Название неактивного статуса серго цвета,PASSED,PASSED,,,
110,Статус №3: Описание активного статуса черного цвета,SKIPED,SKIPED,"5V-126 Если завершить заказ, статус №4 становится активным",,
111,Статус №3: Описание неактивного статуса серого цвета,PASSED,PASSED,,,
112,Статус №3: Кружок с номером активного статуса выделен черным цветом,SKIPED,SKIPED,"5V-126 Если завершить заказ, статус №4 становится активным",,
113,Статус №3: Кружок с номером неактивного статуса выделен серым цветом,PASSED,PASSED,,,
114,Статус №3: При активном состоянии линия соеденяющая со статусом №4 - черного цвета,PASSED,PASSED,,,
115,Статус №3: При неактивном состоянии линия соеденяющая со статусом №4 - серого цвета,PASSED,PASSED,,,
116,Статус №3: Названия статусов не имеют орфографических ошибок,PASSED,PASSED,,,
117,Статус №3: Описания статусов не имеют орфографических ошибок,PASSED,PASSED,,,
118,Статус №3: После завершения статуса кружок с номером меняется на кружок с галочкой,PASSED,PASSED,,,
119,"Статус №4 называется ""Ну все, теперь кататься""",PASSED,PASSED,,,
120,Статус №4 находится под статусом №3,PASSED,PASSED,,,
121,"Статус №4 в неактивном состоянии имеет описание:  ""Пока не закончится аренда""",PASSED,PASSED,,,
122,"Статус №4 в активном состоянии имеет описание:  ""Аренда закончится...в...""",PASSED,PASSED,,,
123,Статус №4: Название активного статуса черного цвета,PASSED,PASSED,,,
124,Статус №4: Название неактивного статуса серго цвета,PASSED,PASSED,,,
125,Статус №4: Описание активного статуса черного цвета,PASSED,PASSED,,,
126,Статус №4: Описание неактивного статуса серого цвета,PASSED,PASSED,,,
127,Статус №4: Кружок с номером активного статуса выделен черным цветом,PASSED,PASSED,,,
128,Статус №4: Кружок с номером неактивного статуса выделен серым цветом,PASSED,PASSED,,,
129,Статус №4: Названия статусов не имеют орфографических ошибок,PASSED,PASSED,,,
130,Статус №4: Описания статусов не имеют орфографических ошибок,PASSED,PASSED,,,
131,Статус №4: После завершения статуса кружок с номером меняется на кружок с галочкой,PASSED,PASSED,,,
132,"Статус №4: Показываемое время рассчитывается от момента, когда самокат передали пользователю с учётом количества дней",FAILED,FAILED,5V-89 Показываемое время аренды в писании статуса №4 отображается не верно,,
133,"Статус №4: Время показывается в формате ""Число, название месяца, часов:минут""",FAILED,FAILED,5V-89 Показываемое время аренды в писании статуса №4 отображается не верно,,
134,"Статус №4: Когда время аренды заканчивается, название статуса меняется на «Время аренды кончилось»",PASSED,PASSED,,,
135,"Статус №4: Когда время аренды заканчивается, описание статуса меняется на «Скоро курьер заберёт самокат»",PASSED,PASSED,,,
136,"Статус №4: становится активным, когда курьер подтвердил завершение заказа.",FAILED,FAILED,5V-88 Статус №2 не становится активным после принятия заказа курьером в мобильном приложении.,,
137,"Статус №4: Если пользователю доставили просроченный заказ, отсчёт времени до конца аренды начинается с момента получения заказа",SKIPED,SKIPED,5V-89 Показываемое время аренды в писании статуса №4 отображается не верно,,
138,Статус №5: Название статуса «Время аренды кончилось»,PASSED,PASSED,,,
139,"Статус №5: Когда время аренды заканчивается, описание статуса меняется на «Скоро курьер заберёт самокат»",PASSED,PASSED,,,
140,"Статус №5: становится активным, когда время аренды заканчивается.",PASSED,PASSED,,,
141,Статус №5: Название активного статуса черного цвета,PASSED,PASSED,,,
142,Статус №5: Описание активного статуса черного цвета,PASSED,PASSED,,,
143,Статус №5: Кружок с номером активного статуса выделен черным цветом,PASSED,PASSED,,,
144,Статус №5: Названия статусов не имеют орфографических ошибок,PASSED,PASSED,,,
145,Статус №5: Описания статусов не имеют орфографических ошибок,PASSED,PASSED,,,
146,"Статус №5: Если активный, то кружок с номером статуса №4 меняется на кружок с галочкой",PASSED,PASSED,,,
147,Статус №5: При активном состоянии линия соеденяющая со статусом №4 - серого цвета,PASSED,PASSED,,,
148,"Статус №5: Если статус активный, статус №4 не меняет своё название",FAILED,FAILED,"5V-90 Статуса №4 меняет своё название и описание, после того, как статус №5 становится активным",,
149,"Статус №5: Если статус активный, статус №4 не меняет своё описание",FAILED,FAILED,"5V-90 Статуса №4 меняет своё название и описание, после того, как статус №5 становится активным",,
Окно с несущетсвующим заказом,,,,,,
150,"Если ввести в поле ""Номер заказа"" некорректное значение появляется окно с сообщение об ошибке: «Такого заказа нет. Точно верный номер?».",PASSED,PASSED,,,
151,На экране есть картинка сломанного самоката,PASSED,PASSED,,,
152,Над сломанным самокатом текст: «Такого заказа нет. Точно верный номер?».,PASSED,PASSED,,,
153,Картинка находится в рамке,PASSED,PASSED,,,
154,"Картинка состоит из сломанного самоката, дороги и двух колес",FAILED,FAILED,"5V-91 Картинка сломанного самоката в окне ""Такого заказа нет"" прорисована не полностью",,
Окно отмены заказа,,,,,,
155,"Под информацией о заказе есть кнопка ""Отменить заказ""",PASSED,PASSED,,,
156,Кнопка выровнена по левому краю,PASSED,PASSED,,,
157,Цвет кнопки белый,PASSED,PASSED,,,
158,Рамки кнопки черные,PASSED,PASSED,,,
159,Цвет текста внутри кнопки - черный,PASSED,PASSED,,,
160,"Название кнопки ""Отменить заказ"" не содержит орфографических ошибок",PASSED,PASSED,,,
161,"При наведении курсора на кнопку ""Отменить заказ"" курсор меняется на руку",PASSED,PASSED,,,
162,"Когда заказ уже у курьера, кнопка «Отменить заказ» будет некликабельной.",SKIPED,SKIPED,"5V-92 Нет кнопки ""Отменить заказ"", когда курьер уже принял его",,
